Electron + Photon:

Event: 1061698068, Run = 276542, Lumi = 630, met = 137.554, phoEt = 47.9617, HT = 0
Event: 85156966, Run = 276583, Lumi = 50, met = 123.893, phoEt = 47.0346, HT = 234.078
Event: 906233125, Run = 276542, Lumi = 544, met = 120.286, phoEt = 119.272, HT = 53.3073
Event: 780405318, Run = 276582, Lumi = 451, met = 138.624, phoEt = 42.5532, HT = 48.3592
Event: 889576703, Run = 276582, Lumi = 506, met = 297.335, phoEt = 143.012, HT = 596.877
Event: 412336013, Run = 276581, Lumi = 286, met = 147.994, phoEt = 83.249, HT = 39.4198
Event: 505895277, Run = 276581, Lumi = 339, met = 127.052, phoEt = 94.2317, HT = 448.632
Event: 1433774495, Run = 276582, Lumi = 795, met = 152.706, phoEt = 63.3108, HT = 431.056
Event: 115032181, Run = 276655, Lumi = 59, met = 132.972, phoEt = 189.307, HT = 148.454
Event: 1505126692, Run = 276775, Lumi = 885, met = 221.465, phoEt = 73.5971, HT = 112.899
Event: 243299779, Run = 276776, Lumi = 142, met = 242.436, phoEt = 189.34, HT = 2323
Event: 1075574695, Run = 276586, Lumi = 618, met = 241.803, phoEt = 194.798, HT = 837.411
Event: 1430108668, Run = 276655, Lumi = 832, met = 134.373, phoEt = 45.9794, HT = 167.066
Event: 1396705244, Run = 276655, Lumi = 810, met = 142.366, phoEt = 57.4999, HT = 244.808
Event: 380435336, Run = 276775, Lumi = 279, met = 132.666, phoEt = 40.7291, HT = 144.38
Event: 380203934, Run = 276775, Lumi = 279, met = 172.607, phoEt = 50.2855, HT = 223.452
Event: 546041093, Run = 276653, Lumi = 359, met = 142.533, phoEt = 84.5663, HT = 291.677
Event: 504310660, Run = 276776, Lumi = 301, met = 287.702, phoEt = 39.727, HT = 611.535
Event: 347413685, Run = 276775, Lumi = 263, met = 145.015, phoEt = 54.9316, HT = 72.2104
Event: 467920205, Run = 276655, Lumi = 245, met = 147.392, phoEt = 80.1029, HT = 200.978
Event: 1322518977, Run = 276655, Lumi = 763, met = 191.37, phoEt = 83.0668, HT = 423.235
Event: 1047029548, Run = 276776, Lumi = 614, met = 122.3, phoEt = 49.211, HT = 198.184
Event: 1161012990, Run = 276776, Lumi = 677, met = 142.538, phoEt = 49.7487, HT = 0
Event: 2022406709, Run = 276776, Lumi = 1181, met = 144.126, phoEt = 49.9255, HT = 946.112
